,Genre,Accuracy,Recall,Precision,Samples in Genre
0,Action,0.872093023255814,0.7794871794871795,0.8172043010752689,336
1,Adventure,0.8887043189368771,0.5841584158415841,0.7023809523809523,203
2,Animation,0.96843853820598,0.05,1.0,45
3,Comedy,0.7973421926910299,0.6470588235294118,0.6836158192090396,394
4,Drama,0.729235880398671,0.7834394904458599,0.7214076246334311,652
5,Fantasy,0.8970099667774086,0.2647058823529412,0.6,130
6,Horror,0.8920265780730897,0.44680851063829785,0.7636363636363637,158
7,Mystery,0.9069767441860465,0.14285714285714285,0.8181818181818182,123
8,Romance,0.8205980066445183,0.24509803921568626,0.44642857142857145,211
9,Sci-Fi,0.8887043189368771,0.46153846153846156,0.8135593220338984,180
10,Thriller,0.8089700996677741,0.6728971962616822,0.7619047619047619,406
